,t # 0
14078,e 18 21 0
14079,e 19 20 0
14080,t # 161
14081,v 0 0
14082,v 1 0
14083,v 2 0
14084,v 3 0
14085,v 4 0
14086,v 5 1
14087,v 6 1
14088,v 7 1
14089,v 8 1
14090,v 9 1
14091,v 10 1
14092,v 11 1
14093,v 12 1
14094,v 13 1
14095,v 14 2
14096,v 15 2
14097,v 16 2
14098,v 17 2
14099,e 0 1 0
14100,e 0 6 0
14101,e 0 14 0
14102,e 1 15 0
14103,e 1 6 0
14104,e 2 7 0
14105,e 2 8 0
14106,e 2 3 0
14107,e 2 9 0
14108,e 3 12 0
14109,e 3 17 0
14110,e 3 4 0
14111,e 3 7 0
14112,e 4 7 0
14113,e 4 17 0
14114,e 5 13 0
14115,e 5 14 0
14116,e 5 6 0
14117,e 6 13 0
14118,e 6 14 0
14119,e 7 8 0
14120,e 7 9 0
14121,e 8 10 0
14122,e 8 9 0
14123,e 10 16 0
14124,e 10 15 0
14125,e 10 11 0
14126,e 11 16 0
14127,e 11 15 0
14128,e 12 17 0
14129,e 13 14 0
14130,e 15 16 0
14131,t # 162
14132,v 0 0
14133,v 1 0
14134,v 2 0
14135,v 3 0
14136,v 4 1
14137,v 5 1
14138,v 6 1
14139,v 7 1
14140,v 8 1
14141,v 9 1
14142,v 10 1
14143,v 11 1
14144,e 0 10 0
14145,e 0 5 0
14146,e 0 11 0
14147,e 0 6 0
14148,e 1 11 0
14149,e 1 8 0
14150,e 1 9 0
14151,e 2 7 0
14152,e 2 8 0
14153,e 2 3 0
14154,e 2 4 0
14155,e 2 9 0
14156,e 3 4 0
14157,e 3 7 0
14158,e 4 7 0
14159,e 5 11 0
14160,e 5 6 0
14161,e 6 11 0
14162,e 7 9 0
14163,e 8 9 0
14164,e 10 1 0
14165,e 10 11 0
14166,t # 163
14167,v 0 0
14168,v 1 0
14169,v 2 0
14170,v 3 0
14171,v 4 0
14172,v 5 1
14173,v 6 1
14174,v 7 1
14175,v 8 1
14176,v 9 1
14177,v 10 1
14178,v 11 1
14179,v 12 1
14180,v 13 2
14181,v 14 2
14182,v 15 2
14183,v 16 2
14184,e 0 14 0
14185,e 0 7 0
14186,e 0 6 0
14187,e 0 1 0
14188,e 1 7 0
14189,e 1 11 0
14190,e 1 13 0
14191,e 1 14 0
14192,e 1 6 0
14193,e 1 12 0
14194,e 2 10 0
14195,e 2 16 0
14196,e 2 8 0
14197,e 2 3 0
14198,e 2 4 0
14199,e 2 9 0
14200,e 3 8 0
14201,e 3 4 0
14202,e 3 16 0
14203,e 4 5 0
14204,e 4 16 0
14205,e 5 16 0
14206,e 5 8 0
14207,e 6 13 0
14208,e 6 7 0
14209,e 7 13 0
14210,e 8 10 0
14211,e 8 9 0
14212,e 9 10 0
14213,e 9 11 0
14214,e 11 12 0
14215,e 11 15 0
14216,e 11 14 0
14217,e 12 15 0
14218,e 12 14 0
14219,e 14 15 0
14220,t # 164
14221,v 0 0
14222,v 1 0
14223,v 2 0
14224,v 3 0
14225,v 4 0
14226,v 5 0
14227,v 6 0
14228,v 7 1
14229,v 8 1
14230,v 9 1
14231,v 10 1
14232,v 11 1
14233,v 12 1
14234,v 13 1
14235,e 0 13 0
14236,e 0 7 0
14237,e 0 1 0
14238,e 1 10 0
14239,e 1 7 0
14240,e 1 2 0
14241,e 2 10 0
14242,e 2 3 0
14243,e 2 9 0
14244,e 3 5 0
14245,e 3 4 0
14246,e 3 9 0
14247,e 3 6 0
14248,e 4 5 0
14249,e 4 6 0
14250,e 5 6 0
14251,e 7 10 0
14252,e 7 13 0
14253,e 7 12 0
14254,e 8 13 0
14255,e 8 11 0
14256,e 8 12 0
14257,e 9 10 0
14258,e 11 13 0
14259,e 11 12 0
14260,e 12 13 0
14261,t # 165
14262,v 0 0
14263,v 1 0
14264,v 2 0
14265,v 3 0
14266,v 4 0
14267,v 5 0
14268,v 6 0
14269,v 7 0
14270,v 8 0
14271,v 9 0
14272,v 10 0
14273,v 11 0
14274,v 12 0
14275,v 13 0
14276,v 14 1
14277,v 15 1
14278,v 16 1
14279,v 17 1
14280,v 18 1
14281,v 19 1
14282,v 20 1
14283,v 21 1
14284,e 0 16 0
14285,e 0 15 0
14286,e 0 1 0
14287,e 1 16 0
14288,e 1 17 0
14289,e 1 15 0
14290,e 2 18 0
14291,e 2 17 0
14292,e 2 3 0
14293,e 3 18 0
14294,e 3 4 0
14295,e 4 5 0
14296,e 4 18 0
14297,e 4 19 0
14298,e 5 6 0
14299,e 5 19 0
14300,e 6 7 0
14301,e 6 19 0
14302,e 7 20 0
14303,e 7 8 0
14304,e 8 20 0
14305,e 8 9 0
14306,e 9 10 0
14307,e 9 20 0
14308,e 10 11 0
14309,e 10 21 0
14310,e 11 13 0
14311,e 11 12 0
14312,e 11 14 0
14313,e 11 21 0
14314,e 12 13 0
14315,e 12 14 0
14316,e 13 14 0
14317,e 14 21 0
14318,e 15 16 0
14319,e 16 17 0
14320,t # 166
14321,v 0 0
14322,v 1 0
14323,v 2 0
14324,v 3 0
14325,v 4 0
14326,v 5 0
14327,v 6 0
14328,v 7 0
14329,v 8 0
14330,v 9 0
14331,v 10 0
14332,v 11 0
14333,v 12 0
14334,v 13 0
14335,v 14 0
14336,v 15 0
14337,v 16 0
14338,v 17 0
14339,v 18 0
14340,v 19 0
14341,v 20 0
14342,v 21 0
14343,v 22 0
14344,v 23 0
14345,v 24 0
14346,v 25 0
14347,v 26 0
14348,v 27 0
14349,v 28 1
14350,v 29 1
14351,v 30 1
14352,v 31 1
14353,v 32 1
14354,v 33 1
14355,v 34 1
14356,v 35 1
14357,v 36 1
14358,v 37 1
14359,v 38 1
14360,v 39 1
14361,v 40 1
14362,v 41 1
14363,v 42 1
14364,e 0 29 0
14365,e 0 1 0
14366,e 0 2 0
14367,e 1 30 0
14368,e 1 3 0
14369,e 1 31 0
14370,e 1 2 0
14371,e 2 3 0
14372,e 2 4 0
14373,e 2 32 0
14374,e 2 31 0
14375,e 3 32 0
14376,e 3 5 0
14377,e 3 4 0
14378,e 4 5 0
14379,e 4 32 0
14380,e 4 33 0
14381,e 5 6 0
14382,e 5 33 0
14383,e 5 7 0
14384,e 6 7 0
14385,e 6 8 0
14386,e 7 34 0
14387,e 7 8 0
14388,e 7 9 0
14389,e 8 10 0
14390,e 8 34 0
14391,e 8 9 0
14392,e 9 10 0
14393,e 10 11 0
14394,e 10 35 0
14395,e 10 12 0
14396,e 10 13 0
14397,e 10 28 0
14398,e 11 13 0
14399,e 11 12 0
14400,e 11 35 0
14401,e 11 28 0
14402,e 12 13 0
14403,e 12 28 0
14404,e 14 37 0
14405,e 14 36 0
14406,e 14 15 0
14407,e 15 37 0
14408,e 15 16 0
14409,e 15 17 0
14410,e 15 36 0
14411,e 16 39 0
14412,e 16 18 0
14413,e 16 17 0
14414,e 17 39 0
14415,e 17 18 0
14416,e 17 19 0
14417,e 18 20 0
14418,e 18 19 0
14419,e 18 40 0
14420,e 19 20 0
14421,e 19 40 0
14422,e 20 22 0
14423,e 20 21 0
14424,e 21 41 0
14425,e 21 23 0
14426,e 21 22 0
14427,e 22 24 0
14428,e 22 41 0
14429,e 22 23 0
14430,e 23 24 0
14431,e 24 27 0
14432,e 24 42 0
14433,e 24 25 0
14434,e 24 26 0
14435,e 25 38 0
14436,e 25 42 0
14437,e 25 26 0
14438,e 25 27 0
14439,e 26 38 0
14440,e 26 42 0
14441,e 26 27 0
14442,e 28 34 0
14443,e 28 35 0
14444,e 29 30 0
14445,e 29 31 0
14446,e 30 32 0
14447,e 30 31 0
14448,e 31 32 0
14449,e 32 33 0
14450,e 33 34 0
14451,e 34 35 0
14452,e 36 37 0
14453,e 36 39 0
14454,e 38 42 0
14455,e 39 40 0
14456,e 40 41 0
14457,e 41 42 0
14458,t # 167
14459,v 0 0
14460,v 1 0
14461,v 2 0
14462,v 3 0
14463,v 4 0
14464,v 5 0
14465,v 6 0
14466,v 7 0
14467,v 8 0
14468,v 9 0
14469,v 10 0
14470,v 11 0
14471,v 12 0
14472,v 13 0
14473,v 14 0
14474,v 15 0
14475,v 16 0
14476,v 17 0
14477,v 18 0
14478,v 19 0
14479,v 20 0
14480,v 21 0
14481,v 22 0
14482,v 23 0
14483,v 24 0
14484,v 25 0
14485,v 26 0
14486,v 27 1
14487,v 28 1
14488,v 29 1
14489,v 30 1
14490,v 31 1
14491,v 32 1
14492,v 33 1
14493,v 34 1
14494,v 35 1
14495,v 36 1
14496,v 37 1
14497,v 38 1
14498,v 39 1
14499,v 40 1
14500,v 41 1
14501,e 0 36 0
14502,e 0 35 0
14503,e 0 28 0
14504,e 1 30 0
14505,e 1 13 0
14506,e 1 36 0
14507,e 1 37 0
14508,e 1 29 0
14509,e 2 30 0
14510,e 2 16 0
14511,e 2 3 0
14512,e 2 31 0
14513,e 2 38 0
14514,e 3 17 0
14515,e 3 15 0
14516,e 3 4 0
14517,e 3 31 0
14518,e 4 16 0
14519,e 4 32 0
14520,e 5 32 0
14521,e 5 6 0
14522,e 5 19 0
14523,e 6 20 0
14524,e 6 7 0
14525,e 6 18 0
14526,e 7 33 0
14527,e 7 40 0
14528,e 7 9 0
14529,e 7 21 0
14530,e 8 20 0
14531,e 8 33 0
14532,e 8 40 0
14533,e 8 9 0
14534,e 8 22 0
14535,e 9 34 0
14536,e 9 21 0
14537,e 10 34 0
14538,e 10 11 0
14539,e 10 12 0
14540,e 10 41 0
14541,e 10 27 0
14542,e 11 12 0
14543,e 11 26 0
14544,e 11 27 0
14545,e 12 27 0
14546,e 13 36 0
14547,e 13 35 0
14548,e 13 14 0
14549,e 14 37 0
14550,e 14 36 0
14551,e 14 29 0
14552,e 15 38 0
14553,e 15 16 0
14554,e 15 37 0
14555,e 15 31 0
14556,e 16 38 0
14557,e 16 17 0
14558,e 17 39 0
14559,e 18 39 0
14560,e 18 19 0
14561,e 19 20 0
14562,e 20 40 0
14563,e 21 40 0
14564,e 21 22 0
14565,e 22 23 0
14566,e 23 24 0
14567,e 23 41 0
14568,e 24 25 0
14569,e 24 41 0
14570,e 24 26 0
14571,e 25 26 0
14572,e 27 34 0
14573,e 27 41 0
14574,e 28 29 0
14575,e 28 36 0
14576,e 28 35 0
14577,e 29 30 0
14578,e 29 37 0
14579,e 31 39 0
14580,e 31 32 0
14581,e 32 38 0
14582,e 34 41 0
14583,e 35 36 0
14584,e 38 39 0
14585,t # 168
14586,v 0 0
14587,v 1 0
14588,v 2 0
14589,v 3 0
14590,v 4 0
14591,v 5 0
14592,v 6 0
14593,v 7 0
14594,v 8 0
14595,v 9 0
14596,v 10 0
14597,v 11 0
14598,v 12 0
14599,v 13 0
14600,v 14 0
14601,v 15 0
14602,v 16 0
14603,v 17 0
14604,v 18 0
14605,v 19 0
14606,v 20 0
14607,v 21 0
14608,v 22 0
14609,v 23 0
14610,v 24 0
14611,v 25 0
14612,v 26 1
14613,v 27 1
14614,v 28 1
14615,v 29 1
14616,v 30 1
14617,v 31 1
14618,v 32 1
14619,v 33 1
14620,v 34 1
14621,v 35 1
14622,v 36 1
14623,v 37 1
14624,v 38 1
14625,v 39 1
14626,v 40 1
14627,v 41 1
14628,v 42 1
14629,v 43 1
14630,e 0 1 0
14631,e 0 2 0
14632,e 1 2 0
14633,e 1 15 0
14634,e 1 27 0
14635,e 2 28 0
14636,e 2 14 0
14637,e 3 29 0
14638,e 3 17 0
14639,e 3 4 0
14640,e 3 28 0
14641,e 4 29 0
14642,e 4 16 0
14643,e 4 18 0
14644,e 4 5 0
14645,e 5 30 0
14646,e 5 17 0
14647,e 5 6 0
14648,e 5 19 0
14649,e 6 30 0
14650,e 6 7 0
14651,e 6 20 0
14652,e 7 8 0
14653,e 7 19 0
14654,e 7 31 0
14655,e 8 10 0
14656,e 8 9 0
14657,e 8 31 0
14658,e 9 10 0
14659,e 9 32 0
14660,e 10 12 0
14661,e 10 32 0
14662,e 10 11 0
14663,e 10 33 0
14664,e 11 24 0
14665,e 11 12 0
14666,e 11 33 0
14667,e 12 24 0
14668,e 13 43 0
14669,e 13 36 0
14670,e 13 15 0
14671,e 13 14 0
14672,e 14 36 0
14673,e 14 15 0
14674,e 15 37 0
14675,e 16 37 0
14676,e 16 38 0
14677,e 16 17 0
14678,e 17 18 0
14679,e 17 38 0
14680,e 18 39 0
14681,e 19 20 0
14682,e 19 39 0
14683,e 20 40 0
14684,e 20 21 0
14685,e 21 23 0
14686,e 21 40 0
14687,e 21 22 0
14688,e 22 24 0
14689,e 22 41 0
14690,e 22 23 0
14691,e 22 25 0
14692,e 23 24 0
14693,e 23 41 0
14694,e 23 42 0
14695,e 23 25 0
14696,e 24 42 0
14697,e 24 25 0
14698,e 26 34 0
14699,e 26 43 0
14700,e 26 27 0
14701,e 27 37 0
14702,e 27 28 0
14703,e 28 38 0
14704,e 28 29 0
14705,e 28 36 0
14706,e 29 39 0
14707,e 29 30 0
14708,e 29 37 0
14709,e 30 38 0
14710,e 30 40 0
14711,e 30 31 0
14712,e 31 39 0
14713,e 32 33 0
14714,e 32 42 0
14715,e 33 41 0
14716,e 34 35 0
14717,e 34 43 0
14718,e 35 43 0
14719,e 36 37 0
14720,e 37 38 0
14721,e 38 39 0
14722,e 39 40 0
14723,e 41 42 0
14724,t # 169
14725,v 0 0
14726,v 1 0
14727,v 2 0
14728,v 3 0
14729,v 4 0
14730,v 5 0
14731,v 6 0
14732,v 7 0
14733,v 8 0
14734,v 9 0
14735,v 10 0
14736,v 11 0
14737,v 12 0
14738,v 13 0
14739,v 14 0
14740,v 15 1
14741,v 16 1
14742,v 17 1
14743,v 18 1
14744,v 19 1
14745,v 20 1
14746,v 21 1
14747,v 22 1
14748,v 23 1
14749,e 0 1 0
14750,e 0 23 0
14751,e 0 15 0
14752,e 0 2 0
14753,e 1 16 0
14754,e 1 2 0
14755,e 2 16 0
14756,e 2 17 0
14757,e 3 18 0
14758,e 3 17 0
14759,e 3 5 0
14760,e 3 4 0
14761,e 4 5 0
14762,e 4 18 0
14763,e 5 18 0
14764,e 5 19 0
14765,e 6 7 0
14766,e 6 8 0
14767,e 6 19 0
14768,e 7 8 0
14769,e 7 19 0
14770,e 8 20 0
14771,e 8 9 0
14772,e 9 10 0
14773,e 9 20 0
14774,e 10 20 0
14775,e 10 11 0
14776,e 11 12 0
14777,e 11 21 0
14778,e 12 13 0
14779,e 12 14 0
14780,e 12 22 0
14781,e 12 21 0
14782,e 13 14 0
14783,e 13 22 0
14784,e 15 16 0
14785,e 15 23 0
14786,e 16 17 0
14787,e 16 23 0
14788,e 17 18 0
14789,e 21 22 0
14790,t # 170
14791,v 0 0
14792,v 1 0
14793,v 2 0
14794,v 3 0
14795,v 4 0
14796,v 5 0
14797,v 6 0
14798,v 7 0
14799,v 8 0
14800,v 9 0
14801,v 10 0
14802,v 11 0
14803,v 12 0
14804,v 13 0
14805,v 14 0
14806,v 15 0
14807,v 16 0
14808,v 17 0
14809,v 18 0
14810,v 19 0
14811,v 20 0
14812,v 21 0
14813,v 22 0
14814,v 23 0
14815,v 24 0
14816,v 25 0
14817,v 26 0
14818,v 27 0
14819,v 28 0
14820,v 29 0
14821,v 30 1
14822,v 31 1
14823,v 32 1
14824,v 33 1
14825,v 34 1
14826,v 35 1
14827,v 36 1
14828,v 37 1
14829,v 38 1
14830,v 39 1
14831,v 40 1
14832,v 41 1
14833,v 42 1
14834,v 43 1
14835,v 44 1
14836,v 45 1
14837,v 46 1
14838,v 47 1
14839,e 0 30 0
14840,e 0 2 0
14841,e 0 38 0
14842,e 1 2 0
14843,e 1 17 0
14844,e 1 40 0
14845,e 1 31 0
14846,e 2 16 0
14847,e 2 32 0
14848,e 3 33 0
14849,e 3 19 0
14850,e 3 32 0
14851,e 4 20 0
14852,e 4 18 0
14853,e 4 33 0
14854,e 4 5 0
14855,e 4 42 0
14856,e 5 34 0
14857,e 5 42 0
14858,e 5 33 0
14859,e 5 43 0
14860,e 5 19 0
14861,e 6 34 0
14862,e 6 43 0
14863,e 6 7 0
14864,e 7 34 0
14865,e 7 8 0
14866,e 8 35 0
14867,e 8 44 0
14868,e 9 10 0
14869,e 9 35 0
14870,e 9 44 0
14871,e 10 11 0
14872,e 10 35 0
14873,e 11 12 0
14874,e 11 36 0
14875,e 11 45 0
14876,e 12 37 0
14877,e 12 13 0
14878,e 12 36 0
14879,e 12 14 0
14880,e 13 37 0
14881,e 13 14 0
14882,e 13 46 0
14883,e 14 37 0
14884,e 15 30 0
14885,e 15 16 0
14886,e 15 47 0
14887,e 15 40 0
14888,e 15 38 0
14889,e 16 17 0
14890,e 16 40 0
14891,e 16 31 0
14892,e 17 41 0
14893,e 18 41 0
14894,e 18 19 0
14895,e 18 42 0
14896,e 19 20 0
14897,e 19 42 0
14898,e 20 43 0
14899,e 21 34 0
14900,e 21 43 0
14901,e 21 22 0
14902,e 22 24 0
14903,e 22 23 0
14904,e 23 24 0
14905,e 23 25 0
14906,e 23 35 0
14907,e 23 44 0
14908,e 24 25 0
14909,e 24 35 0
14910,e 24 44 0
14911,e 25 26 0
14912,e 26 45 0
14913,e 26 28 0
14914,e 26 27 0
14915,e 27 29 0
14916,e 27 46 0
14917,e 27 45 0
14918,e 27 28 0
14919,e 28 37 0
14920,e 28 29 0
14921,e 28 46 0
14922,e 30 38 0
14923,e 30 39 0
14924,e 30 47 0
14925,e 31 38 0
14926,e 31 41 0
14927,e 31 32 0
14928,e 32 40 0
14929,e 36 37 0
14930,e 36 46 0
14931,e 37 46 0
14932,e 37 45 0
14933,e 38 39 0
14934,e 38 47 0
14935,e 39 47 0
14936,e 40 41 0
14937,e 45 46 0
14938,t # 171
14939,v 0 0
14940,v 1 0
14941,v 2 0
14942,v 3 0
14943,v 4 0
14944,v 5 0
14945,v 6 0
14946,v 7 0
14947,v 8 0
14948,v 9 0
14949,v 10 0
14950,v 11 0
14951,v 12 0
14952,v 13 0
14953,v 14 0
14954,v 15 0
14955,v 16 1
14956,v 17 1
14957,v 18 1
14958,v 19 1
14959,v 20 1
14960,v 21 1
14961,v 22 1
14962,v 23 1
14963,v 24 1
14964,e 0 2 0
14965,e 0 16 0
14966,e 0 24 0
14967,e 0 1 0
14968,e 1 2 0
14969,e 1 17 0
14970,e 2 18 0
14971,e 2 3 0
14972,e 3 18 0
14973,e 3 5 0
14974,e 3 4 0
14975,e 3 19 0
14976,e 4 5 0
14977,e 4 19 0
14978,e 5 20 0
14979,e 5 6 0
14980,e 5 19 0
14981,e 6 20 0
14982,e 6 7 0
14983,e 6 8 0
14984,e 7 20 0
14985,e 7 8 0
14986,e 7 9 0
14987,e 8 10 0
14988,e 8 9 0
14989,e 8 21 0
14990,e 9 10 0
14991,e 9 21 0
14992,e 10 11 0
14993,e 10 21 0
14994,e 11 12 0
14995,e 11 21 0
14996,e 12 13 0
14997,e 12 22 0
14998,e 13 14 0
14999,e 13 23 0
15000,e 13 15 0
15001,e 13 22 0
15002,e 14 23 0
15003,e 14 15 0
15004,e 16 24 0
15005,e 16 17 0
15006,e 17 18 0
15007,e 17 24 0
15008,e 18 19 0
15009,e 22 23 0
15010,t # 172
15011,v 0 0
15012,v 1 0
15013,v 2 0
15014,v 3 0
15015,v 4 0
15016,v 5 0
15017,v 6 0
15018,v 7 0
15019,v 8 0
15020,v 9 0
15021,v 10 0
15022,v 11 0
15023,v 12 0
15024,v 13 0
15025,v 14 0
15026,v 15 0
15027,v 16 0
15028,v 17 0
15029,v 18 0
15030,v 19 0
15031,v 20 0
15032,v 21 0
15033,v 22 0
15034,v 23 0
15035,v 24 0
15036,v 25 0
15037,v 26 0
15038,v 27 0
15039,v 28 1
15040,v 29 1
15041,v 30 1
15042,v 31 1
15043,v 32 1
15044,v 33 1
15045,v 34 1
15046,v 35 1
15047,v 36 1
15048,v 37 1
15049,v 38 1
15050,v 39 1
15051,v 40 1
15052,v 41 1
15053,v 42 1
15054,v 43 1
15055,v 44 1
15056,v 45 1
15057,e 0 1 0
15058,e 0 2 0
15059,e 1 16 0
15060,e 1 29 0
15061,e 1 2 0
15062,e 2 30 0
15063,e 2 15 0
15064,e 3 30 0
15065,e 3 18 0
15066,e 3 4 0
15067,e 3 31 0
15068,e 4 5 0
15069,e 4 17 0
15070,e 4 19 0
15071,e 4 31 0
15072,e 5 7 0
15073,e 5 18 0
15074,e 5 32 0
15075,e 5 6 0
15076,e 6 7 0
15077,e 6 32 0
15078,e 6 21 0
15079,e 7 20 0
15080,e 7 33 0
15081,e 7 9 0
15082,e 8 33 0
15083,e 8 9 0
15084,e 8 42 0
15085,e 9 10 0
15086,e 9 11 0
15087,e 10 34 0
15088,e 10 11 0
15089,e 10 12 0
15090,e 11 34 0
15091,e 11 12 0
15092,e 11 35 0
15093,e 11 13 0
15094,e 12 13 0
15095,e 12 35 0
15096,e 13 35 0
15097,e 14 37 0
15098,e 14 16 0
15099,e 14 15 0
15100,e 14 38 0
15101,e 15 38 0
15102,e 15 16 0
15103,e 16 39 0
15104,e 17 39 0
15105,e 17 18 0
15106,e 17 40 0
15107,e 18 40 0
15108,e 18 19 0
15109,e 19 20 0
15110,e 19 41 0
15111,e 19 21 0
15112,e 20 41 0
15113,e 20 21 0
15114,e 21 23 0
15115,e 21 42 0
15116,e 22 23 0
15117,e 22 33 0
15118,e 22 42 0
15119,e 23 24 0
15120,e 23 25 0
15121,e 24 25 0
15122,e 24 43 0
15123,e 24 26 0
15124,e 24 27 0
15125,e 25 44 0
15126,e 25 26 0
15127,e 25 43 0
15128,e 25 27 0
15129,e 26 44 0
15130,e 26 27 0
15131,e 28 29 0
15132,e 28 36 0
15133,e 28 45 0
15134,e 29 30 0
15135,e 29 39 0
15136,e 30 38 0
15137,e 30 40 0
15138,e 30 31 0
15139,e 31 39 0
15140,e 31 41 0
15141,e 31 32 0
15142,e 32 40 0
15143,e 34 35 0
15144,e 34 44 0
15145,e 35 43 0
15146,e 36 37 0
15147,e 36 45 0
15148,e 37 45 0
15149,e 38 39 0
15150,e 39 40 0
15151,e 40 41 0
15152,e 43 44 0
15153,t # 173
15154,v 0 0
15155,v 1 0
15156,v 2 0
15157,v 3 0
15158,v 4 0
15159,v 5 0
15160,v 6 0
15161,v 7 0
15162,v 8 0
15163,v 9 0
15164,v 10 0
15165,v 11 0
15166,v 12 0
15167,v 13 0
15168,v 14 0
15169,v 15 0
15170,v 16 0
15171,v 17 0
15172,v 18 0
15173,v 19 0
15174,v 20 0
15175,v 21 0
15176,v 22 0
15177,v 23 0
15178,v 24 0
15179,v 25 0
15180,v 26 0
15181,v 27 0
15182,v 28 0
15183,v 29 0
15184,v 30 1
15185,v 31 1
15186,v 32 1
15187,v 33 1
15188,v 34 1
15189,v 35 1
15190,v 36 1
15191,v 37 1
15192,v 38 1
15193,v 39 1
15194,v 40 1
15195,v 41 1
15196,v 42 1
15197,v 43 1
15198,v 44 1
15199,v 45 1
15200,v 46 1
15201,v 47 1
15202,e 0 30 0
15203,e 0 2 0
15204,e 0 38 0
15205,e 1 2 0
15206,e 1 17 0
15207,e 1 40 0
15208,e 1 31 0
15209,e 2 16 0
15210,e 2 32 0
15211,e 3 33 0
15212,e 3 19 0
15213,e 3 32 0
15214,e 3 42 0
15215,e 4 20 0
15216,e 4 18 0
15217,e 4 33 0
15218,e 4 5 0
15219,e 4 42 0
15220,e 5 34 0
15221,e 5 42 0
15222,e 5 33 0
15223,e 5 43 0
15224,e 5 19 0
15225,e 6 34 0
15226,e 6 43 0
15227,e 6 7 0
15228,e 7 34 0
15229,e 7 8 0
15230,e 8 35 0
15231,e 8 44 0
15232,e 9 10 0
15233,e 9 35 0
15234,e 9 44 0
15235,e 10 11 0
15236,e 10 35 0
15237,e 11 12 0
15238,e 11 36 0
15239,e 11 45 0
15240,e 12 37 0
15241,e 12 13 0
15242,e 12 36 0
15243,e 12 14 0
15244,e 13 37 0
15245,e 13 14 0
15246,e 13 46 0
15247,e 14 37 0
15248,e 15 30 0
15249,e 15 38 0
15250,e 15 39 0
15251,e 15 47 0
15252,e 15 40 0
15253,e 16 17 0
15254,e 16 40 0
15255,e 16 31 0
15256,e 17 41 0
15257,e 18 41 0
15258,e 18 19 0
15259,e 18 42 0
15260,e 19 20 0
15261,e 19 42 0
15262,e 20 43 0
15263,e 21 34 0
15264,e 21 43 0
15265,e 21 22 0
15266,e 22 24 0
15267,e 22 23 0
15268,e 23 24 0
15269,e 23 25 0
15270,e 23 35 0
15271,e 23 44 0
15272,e 24 25 0
15273,e 24 35 0
15274,e 24 44 0
15275,e 25 26 0
15276,e 26 45 0
15277,e 26 28 0
15278,e 26 27 0
15279,e 27 29 0
15280,e 27 46 0
15281,e 27 45 0
15282,e 27 28 0
15283,e 28 37 0
15284,e 28 29 0
15285,e 28 46 0
15286,e 30 38 0
15287,e 30 47 0
15288,e 31 38 0
15289,e 31 41 0
15290,e 31 32 0
15291,e 32 40 0
15292,e 36 37 0
15293,e 36 46 0
15294,e 37 45 0
15295,e 38 39 0
15296,e 38 47 0
15297,e 39 47 0
15298,e 40 41 0
15299,e 45 46 0
15300,t # 174
15301,v 0 0
15302,v 1 0
15303,v 2 0
15304,v 3 0
15305,v 4 0
15306,v 5 0
15307,v 6 0
15308,v 7 0
15309,v 8 0
15310,v 9 0
15311,v 10 0
15312,v 11 0
15313,v 12 0
15314,v 13 0
15315,v 14 0
15316,v 15 0
15317,v 16 1
15318,v 17 1
15319,v 18 1
15320,v 19 1
15321,v 20 1
15322,v 21 1
15323,v 22 1
15324,v 23 1
15325,v 24 1
15326,e 0 16 0
15327,e 0 17 0
15328,e 0 24 0
15329,e 1 2 0
15330,e 1 18 0
15331,e 1 17 0
15332,e 2 18 0
15333,e 2 17 0
15334,e 3 18 0
15335,e 3 4 0
15336,e 3 19 0
15337,e 4 20 0
15338,e 4 5 0
15339,e 4 19 0
15340,e 5 20 0
15341,e 5 19 0
15342,e 6 20 0
15343,e 6 7 0
15344,e 6 8 0
15345,e 7 8 0
15346,e 7 9 0
15347,e 8 10 0
15348,e 8 9 0
15349,e 8 21 0
15350,e 9 11 0
15351,e 9 21 0
15352,e 10 11 0
15353,e 10 21 0
15354,e 11 12 0
15355,e 12 13 0
15356,e 12 22 0
15357,e 13 14 0
15358,e 13 23 0
15359,e 13 15 0
15360,e 13 22 0
15361,e 14 23 0
15362,e 14 15 0
15363,e 14 22 0
15364,e 16 24 0
15365,e 16 17 0
15366,e 17 18 0
15367,e 17 24 0
15368,e 22 23 0
15369,t # 175
15370,v 0 0
15371,v 1 0
15372,v 2 0
15373,v 3 0
15374,v 4 0
15375,v 5 0
15376,v 6 0
15377,v 7 0
15378,v 8 0
15379,v 9 0
15380,v 10 0
15381,v 11 0
15382,v 12 0
15383,v 13 0
15384,v 14 0
15385,v 15 0
15386,v 16 0
15387,v 17 0
15388,v 18 0
15389,v 19 0
15390,v 20 0
15391,v 21 0
15392,v 22 0
15393,v 23 0
15394,v 24 0
15395,v 25 0
15396,v 26 0
15397,v 27 0
15398,v 28 0
15399,v 29 0
15400,v 30 1
15401,v 31 1
15402,v 32 1
15403,v 33 1
15404,v 34 1
15405,v 35 1
15406,v 36 1
15407,v 37 1
15408,v 38 1
15409,v 39 1
15410,v 40 1
15411,v 41 1
15412,v 42 1
15413,v 43 1
15414,v 44 1
15415,v 45 1
15416,v 46 1
15417,v 47 1
15418,e 0 16 0
15419,e 0 2 0
15420,e 0 1 0
15421,e 1 2 0
15422,e 1 17 0
15423,e 1 31 0
15424,e 2 16 0
15425,e 2 32 0
15426,e 3 33 0
15427,e 3 19 0
15428,e 3 32 0
15429,e 3 4 0
15430,e 4 18 0
15431,e 4 5 0
15432,e 4 42 0
15433,e 4 20 0
15434,e 4 33 0
15435,e 5 34 0
15436,e 5 19 0
15437,e 5 21 0
15438,e 6 34 0
15439,e 6 43 0
